2026-04-22 18:36:34 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [CSU.TO] Trend: +25 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [CSU.TO] Momentum: +13 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [CSU.TO] Volatility: +18 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [CSU.TO] Volume: +11 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [CSU.TO] Returns: +18 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [CSU.TO] Patterns: +4 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [CSU.TO] Regime: +4 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [CSU.TO] Dropped 251 warm-up rows (252 rows remaining)
2026-04-22 18:36:34 | INFO     | src.features.technical_indicators | [CSU.TO] Feature matrix ready: 252 rows x 98 columns
